"Id"	"Type"	"Title"	"Levels"	"PublishedDate"
"info_gpo"	"Information"	"Dernières modifications de GPO"	""	"2024-04-18"
"info_gpo_sysvol"	"Information"	"Dernières modifications de fichiers présents dans le dossier SYSVOL"	""	"2024-04-18"
"info_keycredentiallink_dc"	"Information"	"Authentification par clé publique configurée pour au moins un contrôleur de domaine"	""	"2025-05-05"
"info_keycredentiallink_priv"	"Information"	"Authentification par clé publique configurée pour au moins un compte privilégié"	""	"2025-05-05"
"info_keycredentiallink_silo"	"Information"	"Authentification par clé publique configurée pour au moins une machine membre de silo"	""	"2025-05-05"
"info_laps"	"Information"	"Couverture de LAPS dans la forêt"	""	"2023-05-04"
"info_laps_missing"	"Information"	"Absence d'utilisation de LAPS"	""	"2023-05-04"
"info_password_policy_pso"	"Information"	"Politiques de mot de passe (PSO)"	""	"2021-09-13"
"info_privileged_members_recent_changes"	"Information"	"[BETA] Dernières modifications de membres groupes privilégiés"	""	"2024-06-20"
"info_sd"	"Information"	"[BETA] Descripteurs de sécurité avec SID anonyme"	""	"2023-06-13"
"info_sd_missing_au_lc"	"Information"	"Unités organisationnelles pour lesquelles les utilisateurs n'ont pas le droit de lister le contenu"	""	"2025-10-02"
"info_sd_protected_ou"	"Information"	"Unités organisationnelles bloquant la propagation des droits"	""	"2025-10-02"
"info_user_accounts_dormant"	"Information"	"Comptes actifs inutilisés"	""	"2018-09-26"
"warning_admincount"	"Warning"	"Comptes ayant la propriété adminCount"	"1,3"	"2018-09-27"
"warning_admincount_0"	"Warning"	"Comptes ayant la propriété adminCount"	"1,3"	"2018-09-27"
"warning_dnszone_duplicated_zones"	"Warning"	"Zones DNS dupliquées"	"1"	"2025-01-21"
"warning_dont_expire"	"Warning"	"Comptes dont le mot de passe n'expire jamais"	"2"	"2018-10-12"
"warning_dump_error_rp"	"Warning"	"Descripteur de sécurité ne permettant pas la lecture de tous les attributs"	"1"	"2025-10-02"
"warning_dump_error_vuln_rp"	"Warning"	"Devient une vulnérabilité le 31 juillet 2026"	"1"	"2025-10-02"
"warning_logonscript_priv"	"Warning"	"Comptes privilégiés ayant un script de connexion"	"2"	"2019-05-07"
"warning_password_change"	"Warning"	"Comptes dont le mot de passe est inchangé depuis plus de 3 ans"	"1"	"2018-09-27"
"warning_password_policy_pso_missing"	"Warning"	"[BETA] Politiques de mot de passe affinées (PSO) manquantes dans la collecte"	"3"	"2025-01-07"
"warning_password_policy_pso_weak"	"Warning"	"[BETA] Politiques de mot de passe affinées (PSO) faibles"	"3"	"2025-01-07"
"warning_password_policy_pso_weak2"	"Warning"	"[BETA] Politiques de mot de passe affinées (PSO) faibles pour des objets privilégiés"	"3"	"2025-01-07"
"warning_permissions_specific_containers"	"Warning"	"[BETA] Permissions dangereuses sur conteneurs sensibles"	"1,2"	"2023-07-04"
"warning_privileged_members"	"Warning"	"Nombre significatif de membres des groupes privilégiés"	"1,2"	"2018-09-27"
"warning_privileged_members_builtin_notpriv"	"Warning"	"[BETA] Membres de groupes par défaut privilégiés n'appartenant pas à un groupe protégé"	"2"	"2024-09-05"
"warning_privileged_members_expired_disabled"	"Warning"	"Comptes privilégiés désactivés ou expirés"	"4"	"2018-10-05"
"warning_privileged_members_foreign"	"Warning"	"Groupes privilégiés ayant un objet d'une autre forêt comme membre"	"1"	"2024-04-18"
"warning_privileged_members_no_adminsdholder"	"Warning"	"[BETA] Membres de groupes privilégiés non protégés par l'adminSDHolder"	"2"	"2024-04-18"
"warning_privileged_members_not_empty"	"Warning"	"Groupes privilégiés non vides"	"3"	"2019-01-24"
"warning_reversible_password"	"Warning"	"Comptes ayant leur mot de passe stocké de manière réversible"	"3"	"2018-09-28"
"warning_rid500"	"Warning"	"Compte intégré administrateur du domaine utilisé il y a moins de 30 jours"	"1"	"2018-09-26"
"warning_schema_default_sd"	"Warning"	"Descripteur de sécurité par défaut modifié (schema)"	"1"	"2020-02-13"
"warning_schema_posssuperiors"	"Warning"	"Classes du schéma permettant la création dangereuse d'objets"	"2"	"2022-07-29"
"warning_sd_adminsdholder_protec"	"Warning"	"[BETA] Configuration dangereuse de l'AdminSDHolder "	"2"	"2023-06-13"
"warning_sd_anonymous_control"	"Warning"	"[BETA] Descripteurs de sécurité avec SID anonyme menant à une relation de contrôle"	"1"	"2025-04-24"
"warning_sd_deny_read"	"Warning"	"Des ACE de refus explicites affectent la lecture d'objets lors du relevé ORADAD"	"1"	"2025-10-02"
"warning_sd_failed_sd_read"	"Warning"	"Objets dont le descripteur de sécurité n'a pu être collecté"	"2"	"2025-10-02"
"warning_sd_generic_perm"	"Warning"	"[BETA] Descripteur de sécurité avec flags génériques"	"2"	"2019-06-29"
"warning_sd_repl_perm"	"Warning"	"[BETA] Descripteur de sécurité avec permissions de réplication"	"2"	"2019-06-29"
"warning_sd_unknown_sid"	"Warning"	"[BETA] Descripteur de sécurité avec SID inconnus"	"2"	"2019-06-29"
"warning_spn_priv"	"Warning"	"Comptes privilégiés avec SPN respectant une configuration tolérée"	"1"	"2018-09-27"
"warning_sysvol_files_acl"	"Warning"	"Permissions (ACE) explicites sur les fichiers GPO"	"2"	"2020-04-20"
"warning_sysvol_files_sd"	"Warning"	"Options de descripteur de sécurité non standard sur les fichiers de GPO"	"2"	"2020-04-20"
"warning_sysvol_no_repl"	"Warning"	"Absence de mécanisme de réplication défini dans l'annuaire"	"2"	"2019-08-27"
"warning_sysvol_root_sd"	"Warning"	"Options de descripteur de sécurité non standard sur les répertoires racines des GPO"	"2"	"2020-04-20"
"warning_tool_version"	"Warning"	"Version d'ORADAD obsolète ou inconnue"	"1"	"2019-12-09"
"warning_trusts_tgt_deleg"	"Warning"	"Relations d'approbation entrante avec délégation"	"3"	"2019-01-10"
"warning_user_accounts_dormant"	"Warning"	"Nombre significatif de comptes actifs inutilisés"	"1"	"2018-09-26"
