Id	Levels	Title
vuln_adcs_control	1	Permissions dangereuses sur les conteneurs de certificats (chemins de contrôle)
vuln_adcs_template_control	1,2	Permissions dangereuses sur les objets de modèles de certificats (chemins de contrôle)
vuln_adcs_template_auth_enroll_with_name	1	Permissions d'enrôlement dangereuses sur des modèles de certificats permettant l'authentification
vuln_certificates_vuln	1,2,3	Certificats faibles ou vulnérables
vuln_critical_objects	1	Objets critiques non disponibles
vuln_dc_inconsistent_uac	1	Contrôleurs de domaine incohérents
vuln_dc_obsolete	1	DC/RODC ayant un système d'exploitation obsolète
vuln_delegation_a2d2	1	Délégation d'authentification contrainte vers un service privilégié
vuln_delegation_sourcedeleg	1	Délégation contrainte basée sur la ressource vers des services privilégiés
vuln_delegation_t2a4d	1	Délégation d'authentification contrainte avec transition de protocole vers un service privilégié
vuln_delegation_t4d	1	Délégation d'authentification non contrainte
vuln_display_specifier	1	Présence de Display Specifiers dangereux
vuln_dnsadmins	1	Permissions dangereuses sur le groupe DnsAdmins
vuln_dnszone_bad_prop	1,3	Zones DNS mal configurées
vuln_dont_expire_priv	1	Comptes privilégiés dont le mot de passe n'expire jamais
vuln_dsheuristics_bad	1,2,4	Paramètres dSHeuristics dangereux
vuln_functional_level	1,3,4	Niveaux fonctionnels de la forêt et des domaines insuffisants
vuln_kerberos_properties_preauth_priv	1	Comptes privilégiés sans préauthentification Kerberos
vuln_password_change_dc_no_change	1	Contrôleurs de domaine dont le mot de passe de compte d'ordinateur est inchangé depuis plus de 45 jours
vuln_password_change_inactive_dc	1	Contrôleurs de domaines inactifs
vuln_password_change_priv	1	Comptes privilégiés dont le mot de passe est inchangé depuis plus de 3 ans
vuln_permissions_adminsdholder	1,2	Permissions dangereuses sur l'objet adminSDHolder
vuln_permissions_dc	1,2	Permissions dangereuses sur les objets contrôleurs de domaine (chemins de contrôle)
vuln_permissions_dfsr_sysvol	1,2	Permissions dangereuses sur les objets des paramètres DFSR du SYSVOL (chemins de contrôle)
vuln_permissions_dpapi	1,2	Permissions dangereuses sur les objets de clés DPAPI (chemins de contrôle)
vuln_permissions_gmsa_keys	1,2	Permissions dangereuses vers les objets de clés gMSA (chemins de contrôle)
vuln_permissions_naming_context	1,2	Permissions dangereuses sur la racine des naming contexts (chemins de contrôle)
vuln_permissions_schema	1,2	Permissions dangereuses sur les objets du schéma (chemins de contrôle)
vuln_permissions_msdns	1	Permissions dangereuses sur les objets serveurs MicrosoftDNS (chemins de contrôle)
vuln_permissions_gpo_priv	1	Permissions dangereuses sur les objets de GPO s'appliquant aux membres des groupes privilégiés (chemins de contrôle)
vuln_primary_group_id_1000	1	Comptes avec un PrimaryGroupID inférieur à 1000
vuln_privileged_members	1,2	Nombre important de membres des groupes privilégiés
vuln_privileged_members_perm	1,2	Permissions dangereuses sur des membres de groupes privilégiés (chemins de contrôle)
vuln_spn_priv	1	Comptes privilégiés avec SPN
vuln_trusts_domain_notfiltered	1	Relations d'approbation sortante de type domaine non filtré
